Last Name,Player Name,Status,Reason
Dick,Gradey,Probable,Injury/Illness-Neck;Contusion
Ingram,Brandon,Out,Injury/Illness-LeftAnkle;Sprain
Lawson,A.J.,Out,GLeague-Two-Way
Mogbo,Jonathan,Probable,Injury/Illness-RightAnkle;Sprain
Poeltl,Jakob,Out,Injury/Illness-RightHip;Pointer
Tucker,P.J.,Out,NotWithTeam
Embiid,Joel,Questionable,
George,Paul,Available,Injury/Illness-LeftFinger;Splint
Gordon,Eric,Questionable,Injury/Illness-RightWrist;Sprain
Lowry,Kyle,Out, Management
McCain,Jared,Out,
Anunoby,OG,Questionable,Injury/Illness-RightFoot;Sprain
Dadiet,Pacome,Out,
Hart,Josh,Probable,Injury/Illness-RightKnee;Soreness
McCullar Jr.,Kevin,Out,GLeague-Two-Way
Robinson,Mitchell,Out,Injury/Illness-LeftAnkle;Surgery
Toppin,Jacob,Out,GLeague-Two-Way
Dennis,RayJ,Doubtful,GLeague-Two-Way
Freeman,Enrique,Questionable,GLeague-Two-Way
Jackson,Isaiah,Out,
Jackson,Quenton,Doubtful,GLeague-Two-Way
Turner,Myles,Questionable,Injury/Illness-Cervical;Strain
Harper Jr.,Ron,Out,GLeague-Two-Way
Ivey,Jaden,Out,Injury/Illness-LeftFibula;Fracture
Jenkins,Daniss,Out,GLeague-Two-Way
Klintman,Bobi,Out,GLeague-OnAssignment
Smith,Tolu,Out,GLeague-Two-Way
Ball,Lonzo,Out,
Dosunmu,Ayo,Probable,Injury/Illness-N/a;Illness
Liddell,E.J.,Out,GLeague-Two-Way
Miller,Emanuel,Out,GLeague-Two-Way
Sanogo,Adama,Out,Injury/Illness-LeftKnee;Contusion
