PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,First,Last,Suffix,KEY,PER,DoubleDouble,TripleDouble,Home_Away,Opponent,Opponent_ATL,Opponent_BKN,Opponent_BOS,Opponent_CHA,Opponent_CHI,Opponent_CLE,Opponent_DAL,Opponent_DEN,Opponent_DET,Opponent_GSW,Opponent_HOU,Opponent_IND,Opponent_LAC,Opponent_LAL,Opponent_MEM,Opponent_MIA,Opponent_MIL,Opponent_MIN,Opponent_NOP,Opponent_NYK,Opponent_OKC,Opponent_ORL,Opponent_PHI,Opponent_PHX,Opponent_POR,Opponent_SAC,Opponent_SAS,Opponent_TOR,Opponent_UTA,Opponent_WAS,FP
Kyle Kuzma,MIL,MIL vs. GSW,2025-02-10,L,34,21,6,9,66.7,0,1,0.0,9,13,69.2,2,4,6,0,0,0,2,3,-7,Kyle,Kuzma,,kylkuzma,0.5294117647058824,0,0,1,GSW,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5
Terance Mann,ATL,ATL @ ORL,2025-02-10,W,15,12,4,4,100.0,3,3,100.0,1,1,100.0,1,1,2,1,0,0,1,0,6,Terance,Mann,,termann,0.9333333333333333,0,0,0,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.0
Onyeka Okongwu,ATL,ATL @ ORL,2025-02-10,W,29,9,3,7,42.9,0,1,0.0,3,3,100.0,1,6,7,2,1,1,2,2,4,Onyeka,Okongwu,,onyokongwu,0.4827586206896552,0,0,0,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23.75
Cole Anthony,ORL,ORL vs. ATL,2025-02-10,L,18,7,3,5,60.0,1,1,100.0,0,0,0.0,0,1,1,4,2,1,4,3,4,Cole,Anthony,,colanthony,0.5,0,0,1,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75
Dyson Daniels,ATL,ATL @ ORL,2025-02-10,W,33,10,5,8,62.5,0,0,0.0,0,0,0.0,0,6,6,4,4,1,1,2,0,Dyson,Daniels,,dysdaniels,0.6363636363636364,0,0,0,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33.0
Paolo Banchero,ORL,ORL vs. ATL,2025-02-10,L,33,31,10,22,45.5,4,9,44.4,7,8,87.5,0,6,6,4,0,1,4,3,-19,Paolo,Banchero,,paobanchero,0.7575757575757576,0,0,1,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
Mouhamed Gueye,ATL,ATL @ ORL,2025-02-10,W,15,9,2,6,33.3,2,4,50.0,3,4,75.0,0,1,1,2,2,1,1,1,8,Mouhamed,Gueye,,mougueye,0.6,0,0,0,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.75
Tristan da Silva,ORL,ORL vs. ATL,2025-02-10,L,16,9,2,5,40.0,1,3,33.3,4,4,100.0,1,1,2,0,1,1,0,0,-2,Tristan,da,Silva,trida,0.625,0,0,1,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0
Larry Nance Jr.,ATL,ATL @ ORL,2025-02-10,W,19,8,4,6,66.7,0,1,0.0,0,0,0.0,2,1,3,1,0,0,1,3,2,Larry,Nance,Jr.,larnance,0.47368421052631576,0,0,0,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.75
Georges Niang,ATL,ATL @ ORL,2025-02-10,W,24,8,2,7,28.6,1,3,33.3,3,4,75.0,0,4,4,1,0,0,1,3,-2,Georges,Niang,,geoniang,0.25,0,0,0,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.5
Jonathan Isaac,ORL,ORL vs. ATL,2025-02-10,L,18,6,2,3,66.7,2,3,66.7,0,0,0.0,0,4,4,0,0,1,2,3,-5,Jonathan,Isaac,,jonisaac,0.4444444444444444,0,0,1,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0
Anthony Black,ORL,ORL vs. ATL,2025-02-10,L,34,6,2,6,33.3,0,2,0.0,2,3,66.7,2,4,6,5,1,0,1,1,5,Anthony,Black,,antblack,0.35294117647058826,0,0,1,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5
Chris Paul,SAS,SAS @ WAS,2025-02-10,W,33,8,2,6,33.3,2,6,33.3,2,2,100.0,1,4,5,9,2,0,2,3,12,Chris,Paul,,chrpaul,0.5454545454545454,0,0,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.75
Malcolm Brogdon,WAS,WAS vs. SAS,2025-02-10,L,19,11,5,10,50.0,0,1,0.0,1,1,100.0,1,4,5,5,1,0,1,1,9,Malcolm,Brogdon,,malbrogdon,0.8421052631578947,0,0,1,SAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26.25
Devin Vassell,SAS,SAS @ WAS,2025-02-10,W,31,7,2,9,22.2,2,8,25.0,1,1,100.0,0,3,3,1,0,0,1,1,1,Devin,Vassell,,devvassell,0.0967741935483871,0,0,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.75
Justin Champagnie,WAS,WAS vs. SAS,2025-02-10,L,18,14,5,6,83.3,2,2,100.0,2,2,100.0,3,2,5,1,0,1,0,2,17,Justin,Champagnie,,juschampagnie,1.1111111111111112,0,0,1,SAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24.75
Corey Kispert,WAS,WAS vs. SAS,2025-02-10,L,24,14,5,11,45.5,3,8,37.5,1,1,100.0,0,2,2,2,0,0,2,3,8,Corey,Kispert,,corkispert,0.4166666666666667,0,0,1,SAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.0
Jeremy Sochan,SAS,SAS @ WAS,2025-02-10,W,21,14,6,7,85.7,1,1,100.0,1,1,100.0,2,3,5,3,3,0,2,2,-2,Jeremy,Sochan,,jersochan,1.0476190476190477,0,0,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.25
Victor Wembanyama,SAS,SAS @ WAS,2025-02-10,W,38,31,12,21,57.1,5,8,62.5,2,4,50.0,3,12,15,4,2,3,1,2,6,Victor,Wembanyama,,vicwembanyama,1.131578947368421,1,0,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.25
Tristan Vukcevic,WAS,WAS vs. SAS,2025-02-10,L,20,18,7,10,70.0,2,3,66.7,2,2,100.0,0,6,6,2,1,1,1,2,13,Tristan,Vukcevic,,trivukcevic,1.2,0,0,1,SAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33.0
Stephon Castle,SAS,SAS @ WAS,2025-02-10,W,20,16,7,9,77.8,2,3,66.7,0,0,0.0,1,0,1,2,3,1,1,1,-12,Stephon,Castle,,stecastle,1.0,0,0,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.75
Bub Carrington,WAS,WAS vs. SAS,2025-02-10,L,28,10,4,10,40.0,2,8,25.0,0,0,0.0,1,3,4,5,0,0,3,3,-6,Bub,Carrington,,bubcarrington,0.35714285714285715,0,0,1,SAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22.0
Alec Burks,MIA,MIA vs. BOS,2025-02-10,L,26,13,5,7,71.4,3,5,60.0,0,0,0.0,1,6,7,0,0,0,0,0,6,Alec,Burks,,aleburks,0.6923076923076923,0,0,1,BOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.25
Kyle Anderson,MIA,MIA vs. BOS,2025-02-10,L,10,0,0,5,0.0,0,1,0.0,0,0,0.0,1,2,3,0,0,0,0,0,-14,Kyle,Anderson,,kylanderson,-0.2,0,0,1,BOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75
Andrew Wiggins,MIA,MIA vs. BOS,2025-02-10,L,30,11,3,12,25.0,2,8,25.0,3,3,100.0,1,4,5,5,1,1,2,1,-22,Andrew,Wiggins,,andwiggins,0.4,0,0,1,BOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.75
Kristaps Porzingis,BOS,BOS @ MIA,2025-02-10,W,32,17,8,15,53.3,1,6,16.7,0,0,0.0,0,9,9,2,0,2,1,2,19,Kristaps,Porzingis,,kriporzingis,0.6875,0,0,0,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.25
Neemias Queta,BOS,BOS @ MIA,2025-02-10,W,6,4,2,2,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,4,Neemias,Queta,,neequeta,0.6666666666666666,0,0,0,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75
Davion Mitchell,MIA,MIA vs. BOS,2025-02-10,L,23,4,2,8,25.0,0,4,0.0,0,0,0.0,0,3,3,4,0,0,0,3,5,Davion,Mitchell,,davmitchell,0.21739130434782608,0,0,1,BOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75
